Sr No,Member Id,Unit Name,Contact Person,Chapter,Category
244,514,KARSHNI ALUMINIUM CO. (P) LTD.,MR. NEERAJ SINGHAL,Ghaziabad,BUILDING & CONSTRUCTION MATERIALS
245,515,Promotional Club,Ratan Mani,Noida,TEXTILE & GARMENTS
246,516,Kissan Oil Expoiler,Lokesh KR. Goel,Hapur,
247,517,Aman Industries,Prateek Jain,Hapur,METAL
248,519,Ashu Industries,Smt Krishna Kumari,Hapur,FOOTWEAR & LEATHER
249,520,Asia Paint & Chemicals,Pramod Goel,Hapur,
250,522,Kalson Ind.,Karam Singh,Hapur,
,,,,,
251,523,Authentic Designers,Mr. Yash Chopra,Noida,
252,524,Chamunda Papers Pvt. Ltd.,Manoj Gupta,Hapur,
253,525,Chhaya Packers & Printers Pvt. Ltd.,Rajendra Kumar Agarwal,Hapur,PACKAGING
254,526,Fancy Images,Rakesh Sadh,Noida,
255,530,Jai Electricals (India),Dheeraj Chugh,Hapur,ELECTRICAL & ELECTRONICS
256,531,Kansal Wood Ind.,Anil kansal,Hapur,
257,535,Agarwal Enterprises,Sanjay AGARWAL,Hapur,
258,536,Durga Oil & Chemicals,Kailash Chand Goel,Hapur,
259,538,CHOKDAYAT COLD STORAGE,ASHOK CHOKDAYAT,Hapur,AGRO & FOOD PROCESSING
260,543,Bobby Tubes,Peaush Mohan Agarwal,Hapur,
261,547,NAVEEN PLASTIC,RAJAT SAHNI,Hapur,MISCELLANEOUS
262,549,Painta Chem (India),Sarvendra Rastogi,Hapur,CHEMICAL & PETROLEUM
263,550,Paper N Board,Prabhat Taparia ,Hapur,"PAPER, PRINTING & PUBLISHING"
264,551,Pee Kay Electrodes Industries ,Ajay Chawla,Hapur,MACHINERY EQUIPMENTS
265,554,Rajdeep Electrodes Industries,Sanjeev Juneja,Hapur,
266,556,S.K.Packaging Industries,Jai Narian Goyal,Hapur,
267,558,Satyam Industries,MEENU TANEJA,Hapur,
268,559,Savio Texcone Pvt. Ltd.,Ashok Chharia,Hapur,
269,560,Century Chemicals,ADITYA GOEL,Hapur,
270,561,Shiva Enterprises,Atul Goel,Hapur,
271,562,Shivam Traders,Kapil Agarwal,Hapur,
272,564,Shri Guru Nanak Industries,Tara Singh,Hapur,
273,565,Shri Jee Plastics,Rajendra Kumar Gupta,Hapur,GLASS & CERAMICS
